DATA SOLICITAÇÃO,DATA EXPEDIÇAO,N° TICKET,PROJETO,EQUIPAMENTO,SERIAL,QUAL ESTOQUE?,NF,RESPONSABILIDADE,REPOSIÇÃO ,VALIDADO NO ESTOQUE
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351C12,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351C1J,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BN3,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BNB,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BNU,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BMS,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BMQ,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BLM,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BYC,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BXQ,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BXX,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BXG,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BY0,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BY3,EVOTEVCH,32073,SHIRLEY,,VALIDADO
11/03/25,,189719,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I AP,FJC28351BY6,EVOTEVCH,32073,SHIRLEY,,VALIDADO
12/03/25,,190797,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200L-24P-4G-A MANUTENÇÃO,TSP27030045,9200 INSTALAÇÃO,31946,COTRIM,NAO ,VALIDADO
01/04/25,,191547,NTT_SUSTENTAÇÃO 9000 SW - F221082,C9200L-24P-4G-A MANUTENÇÃO,TSP27030064,9200 MANUTENÇÃO,32009,COTRIM,SIM,VALIDADO
01/04/25,,191406,NTT_EVOTECH - 9300 E APS - F240242,CATALIST 9166 AP,TSP2835ACPB,EVOTECH,32001,SHIRLEY,,VALIDADO
01/04/25,,191406,NTT_EVOTECH - 9300 E APS - F240242,CATALIST 9166 AP,TSP2835ACMM,EVOTECH,32001,SHIRLEY,,VALIDADO
01/04/25,,191394,NTT_EVOTECH - 9300 E APS - F240242,CATALIST 9166 AP,TSP2835ACPC,EVOTECH,32003,SHIRLEY,,VALIDADO
01/04/25,,191394,NTT_EVOTECH - 9300 E APS - F240242,CATALIST 9166 AP,TSP2835ACHU,EVOTECH,32003,SHIRLEY,,VALIDADO
04/04/25,,191790,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200-24P-4G-A,TSP27030314,9200 MANUTENÇÃO,32047,COTRIM,SIM,VALIDADO
07/04/25,,191712,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200-24P-4G-A,TSP27030311,9200 MANUTENÇÃO,32042,COTRIM,,VALIDADO
08/04/25,,191788,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200-24P-4G-A,TSP27030068,9200 MANUTENÇÃO,32046,COTRIM,SIM,VALIDADO
08/04/25,,191730,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),FABRIC INTERCONNECT 6536 FOR IMM,FDO27500V7D,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),32048,KAYQUE,,VALIDADO
08/04/25,,191730,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),FABRIC INTERCONNECT 6536 FOR IMM,FDO27500V97,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),32048,KAYQUE,,VALIDADO
08/04/25,,191730,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),FABRIC INTERCONNECT 6536 FOR IMM,FDO27490P3K,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),32048,KAYQUE,,VALIDADO
08/04/25,,191730,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),FABRIC INTERCONNECT 6536 FOR IMM,FDO27490P6P,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),32048,KAYQUE,,VALIDADO
08/04/25,,191730,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),FABRIC INTERCONNECT 6536 FOR IMM,FDO274710WQ,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),32048,KAYQUE,,VALIDADO
08/04/25,,191730,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),FABRIC INTERCONNECT 6536 FOR IMM,FDO274314TN,NTT_GESTÃO ARMAZENAGEM BRADESCO SEGUROS (BLADES),32048,KAYQUE,,VALIDADO
09/04/25,,191992,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200-24P-4G-A,TSP27022337,9200 MANUTENÇÃO,32062,COTRIM,SIM,VALIDADO
09/04/25,,191799,NTT_PERCALL - IS20400,C9200-24P-4G-A,TSP26510095,9200 9K,32050,COTRIM,,VALIDADO
10/04/25,,192099,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200-24P-4G-A,TSP27022335,9200 MANUTENÇÃO,32066,COTRIM,SIM,VALIDADO
02/05/25,,192897,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200L-24P-4G-A,"tsp27022381",9200 SUSTENTAÇÃO,32160,COTRIM,,VALIDADO
02/05/25,,192886,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200L-24P-4G-A,TSP27021323,9200 SUSTENTAÇÃO,32159,COTRIM,,VALIDADO
02/05/25,,192876,NTT_EVOTECH - 9300 E APS - F240242,CATALYST 9166I,FJC283411SR,EVOTECH,32158,SHYRLEY,,VALIDADO
06/05/25,,193054,NTT_TRAG BRADESCO - F240242,C9200L-24P-4G-A,TSP26470945,9200 TRAG,GRM 208,SHIRLEY,,VALIDADO
06/05/25,,193053,NTT_TRAG BRADESCO - F240242,C9200L-24P-4G-A,TSP27021251,9200 TRAG,GRM 207,SHIRLEY,,VALIDADO
06/05/25,,193050,NTT_TRAG BRADESCO - F240242,C9200L-24P-4G-A,TSP26451463,9200 TRAG,GRM 206,SHIRLEY,,VALIDADO
06/05/25,,193049,NTT_TRAG BRADESCO - F240242,C9200L-24P-4G-A,TSP26470664,9200 TRAG,GRM  205,SHIRLEY,,VALIDADO
06/05/25,,193048,NTT_TRAG BRADESCO - F240242,C9200L-24P-4G-A,TSP26471480,9200 TRAG,GRM 204,SHIRLEY,,VALIDADO
06/05/25,,193046,NTT_TRAG BRADESCO - F240242,C9200L-24P-4G-A,TSP26451084,9200 TRAG,GRM 203,SHIRLEY,,VALIDADO
06/05/25,,193045,NTT_TRAG BRADESCO - F240242,C9200L-24P-4G-A,TSP26500088,9200 TRAG,GRM 202,SHIRLEY,,VALIDADO
06/05/25,,193044,NTT_TRAG BRADESCO - F240242,C9200L-24P-4G-A,TSP26471154,9200 TRAG,GRM 201,SHIRLEY,,VALIDADO
06/05/25,,193043,NTT_TRAG BRADESCO - F240242,C9200L-24P-4G-A,TSP26491026,9200 TRAG,GRM 200,SHIRLEY,,VALIDADO
06/05/25,,192860,NTT_ATIVIDADES AVULSAS BRADESCO - F240242,C9200L-24P-4G-A,TSP26470534,9200 TRAG,GRM 199,SHIRLEY,,VALIDADO
09/05/25,,192025 ,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAUC,EVOTECH,32213,SHIRLEY,,VALIDADO
09/05/25,,192025 ,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AANT,EVOTECH,32213,SHIRLEY,,VALIDADO
09/05/25,,192025 ,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AATK,EVOTECH,32213,SHIRLEY,,VALIDADO
09/05/25,,192025 ,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAUJ,EVOTECH,32213,SHIRLEY,,VALIDADO
09/05/25,,192025 ,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAUG,EVOTECH,32213,SHIRLEY,,VALIDADO
09/05/25,,192025 ,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AATH,EVOTECH,32213,SHIRLEY,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L6HM,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L810,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L6LW,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L78H,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L83C,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L6RM,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8DP,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L7VH,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L5TS,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L6TG,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L6L7,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8QP,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193251,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8G4,EVOTECH,32202,MARIANA,,VALIDADO
09/05/25,,193242,NTT_IMPLANTAÇÃO 9000 SW - F221082,C9200L-24P-4G-A,TSP26451437,9200 9K,32214,MARIANA,,VALIDADO
09/05/25,,193191,NTT_ATIVIDADES AVULSAS BRADESCO - F240242,C9200L-24P-4G-A,TSP26470042,9200 TRAG,GRM 209,MARIANA,,VALIDADO
09/05/25,,193183,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L7HK,EVOTECH,32191,SHIRLEY,,VALIDADO
09/05/25,,193183,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L786,EVOTECH,32191,SHIRLEY,,VALIDADO
09/05/25,,192024,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAPN,EVOTECH,32212,SHIRLEY,EXTRAVIADO,VALIDADO
09/05/25,,192024,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AANF,EVOTECH,32212,SHIRLEY,EXTRAVIADO,VALIDADO
09/05/25,,192024,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAPK,EVOTECH,32212,SHIRLEY,EXTRAVIADO,VALIDADO
09/05/25,,192024,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AANK,EVOTECH,32212,SHIRLEY,EXTRAVIADO,VALIDADO
09/05/25,,192024,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAPZ,EVOTECH,32212,SHIRLEY,EXTRAVIADO,VALIDADO
09/05/25,,192024,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAPP,EVOTECH,32212,SHIRLEY,EXTRAVIADO,VALIDADO
09/05/25,,192024,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AATS ,EVOTECH,32212,SHIRLEY,EXTRAVIADO,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AASF,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AASM,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAPT,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AANN,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAPG,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AATL,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAZP,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAUL,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AAUM,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AANH,EVOTECH,32194,SHIRLEY,,VALIDADO
09/05/25,,192023,NTT_EVOTECH - 9300 E APS - F240242,CW9164I-ROW,TSP2832AATC,EVOTECH,32194,SHIRLEY,,VALIDADO
11/04/25,,192132,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200-24P-4G-A,TSP27030316,9200 MANUTENÇÃO,32072,COTRIM,SIM,VALIDADO
11/04/25,,192045,NTT_IMPLANTAÇÃO 9000 SW - F221082,C9200-24P-4G-A,TSP26451518,9200 9K,32076,SHIRLEY,,VALIDADO
11/04/25,,192045,NTT_IMPLANTAÇÃO 9000 SW - F221082,C9200-24P-4G-A,TSP26510315,9200 9K,32076,SHIRLEY,,VALIDADO
11/04/25,,192045,NTT_IMPLANTAÇÃO 9000 SW - F221082,C9200-24P-4G-A,TSP27020821,9200 9K,32076,SHIRLEY,,VALIDADO
11/04/25,,192045,NTT_IMPLANTAÇÃO 9000 SW - F221082,C9200-24P-4G-A,TSP26500231,9200 9K,32076,SHIRLEY,,VALIDADO
11/04/25,,192045,NTT_IMPLANTAÇÃO 9000 SW - F221082,C9200-24P-4G-A,TSP26463158,9200 9K,32076,SHIRLEY,,VALIDADO
14/04/25,,192149,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200-24P-4G-A,TSP27022219,9200 MANUTENÇÃO,32083,COTRIM,SIM,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-24UXG-4X-A,FOC2709Y49F,ESTOQUE 9K SW,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48UXG-4X-A,FOC2738Y4W7,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48UXG-4X-A,FVH2835L7V0,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48UXG-4X-A,FVH2832L34N,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48UXG-4X-A,FVH2835L6NV,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48UXG-4X-A,FVH2835L6CT,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48UXG-4X-A,FVH2828L39K,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L6SA,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L90L,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L95W,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L89Z,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8G6,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8H0,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8G1,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8BJ,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8F9,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L5R8,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8FF,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L6S2,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8DX,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8AQ,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8JH,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8FR,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8GW,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L825,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L94N,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L92J,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8JA,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L95Z,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8UC,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8BZ,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L8BF,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193413,NTT_EVOTECH - 9300 E APS - F240242,C9300L-48P-4X-A,FVH2831L78T,EVOTECH,32237,SHIRLEY,,VALIDADO
14/05/25,,193298,NTT_SUSTENTAÇÃO 9000 SW - F221083,C9200L-24P-4G-A MANUTENÇÃO,TSP27022341,9200 - MANUTENÇÃO,32226,COTRIM,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411PU,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411SQ,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC28351BT1,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC28331SDW,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411QA,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC28331SCV,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411SH,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411S8,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC28331SF7,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC28331SDJ,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC28351BVP,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411TN,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411RL,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411R3,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411T1,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411U9,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411T0,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411RR,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411QK,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC28331SF2,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411QB,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC28331SFP,EVOTECH,32215,SHIRLEY,,VALIDADO
14/05/25,,192043,NTT_EVOTECH - 9300 E APS - F240242,CW9166I-ROW,FJC283411QL,EVOTECH,32215,SHIRLEY,,VALIDADO
